Method,Context Precision,Context Recall,F1 Score,Accuracy Score
"gpt-4o with hybrid search",1.0,0.8787878787878788,0.9354838709677419,0.7142857142857143
"gpt-4o-mini with hybrid search",0.9333333333333333,0.8484848484848485,0.888888888888889,0.7142857142857143
"gemini-pro with hybrid search",0.88,0.6666666666666666,0.7586206896551725,0.6071428571428571 
"gpt-4o-mini with bm25",0.7241379310344828,0.6363636363636364,0.6774193548387097,0.5357142857142857 
"gemini-pro with knn",0.95,0.5757575757575758,0.7169811320754716,0.5357142857142857 
"gemini-pro with bm25",0.8181818181818182,0.5454545454545454,0.6545454545454545,0.4642857142857143 
"gpt-4o with knn",0.8484848484848485,0.8484848484848485,0.8484848484848486,0.6785714285714286 
